序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
1,软件开发工程师,前端工程师(J18314),6-10k,重庆,3-5年-本科-界面开发-前端开发,3-5年-本科-界面开发-前端开发,重庆工业大数据创新中心有限公司,云计算/大数据-战略投资-100-499人,重庆,云计算/大数据-战略投资-100-499人,"职责描述：
1.负责公司软件产品及软件项目前端页面的详细设计。
2.负责公司软件产品及软件项目前端页面的代码实现。
3.负责公司软件产品及软件项目前端页面的安装部署。
4.负责公司软件产品及软件项目前端页面的运营与维护。
5.负责公司前端开发工具的研发与上线工作。
6.领导安排的其他工作。
","任职要求：
1.学历及专业：本科及以上。计算机、通信、自动化等相关专业。
2.工作技能：
(1)熟练掌握HTML、CSS、Javascript、Ajax等能力，能够独立完成基于产品原型或UI设计的前端页面和业务功能的研发工作者优先。
(2)熟练掌握基于Vue框架的前端Web项目，熟悉Uni-App框架的相关研发工作优先。
(3)拥有良好的够沟通能力，能够主动与产品设计与UI设计工程师进行沟通并形成落地产品，具备基本的审美能力，有效提高待交付产品的用户体验。
(4)参与过多人协作的软件研发项目，熟悉前后端分离的研发协作模式，能够与后端研发工程师建立良好的沟通和协作。
(5)拥有良好的工程师思维和代码习惯，结构清晰，命名规范，逻辑性强优先。"
2,软件开发工程师,高级Web前端,10-13k,郑州-管城区,5-10年-本科-前端开发-架构设计-界面开发-Koa-Javascript-ECMAScript 6-ECMAScript-Webpack-Gulp,5-10年-本科-前端开发-架构设计-界面开发-Koa-Javascript-ECMAScript 6-ECMAScript-Webpack-Gulp,点开网络,互联网-1-49人,郑州-管城区,互联网-1-49人,"职责描述：
1、负责公司产品或项目前端研发，并配合后端的开发；
2、针对产品需求，分析并给出对应的页面前端架构解决方案；
3、独立承担工作任务把控任务进度及把控代码质量，定期维护并更新前端开发规范；
","任职要求：
1、全日制本科及以上学历，计算机软件或互联网专业优先；
2、计算机软件或互联网行业，相关工作经验5年及以上；
3、有带过前端团队3人以上，参与并主导并设计过多个大型复杂项目，有复杂项目架构设计能力；
4、有PC/H5/小程序等不同平台的项目开发经验；
5、精通javascript/ES6，熟练使用Vue3、Vue2框架独立搭建前端项目并熟悉其原理；
6、熟练使用webpack/vite/gulp等构建工具，熟悉loader/plugin；
7、熟悉浏览器渲染原理，网络基础，构建工具掌握常见前端优化手段持续对项目进行性能优化；
8、熟悉Node，Koa等框架，熟悉接口规范，具备一定的接口开发能力；
9、独立的分析思考能力，热爱钻研新技术，自我工作标准高，善于主动沟通，有团队合作精神，对业界新技术保持较强的敏感度；"
3,软件开发工程师,IT运维工程师,6-8k,淄博-张店区,1-3年-本科-SQL,1-3年-本科-SQL,安得医疗,医疗器械-1000-2000人,淄博-张店区,医疗器械-1000-2000人,,"任职资格：

1、本科及以上学历，计算机、信息管理与信息系统等相关专业；

2、1年以上生产制造型企业应用系统运维经验，熟悉SQLServer、MYSQL数据库，具备SQL语言初级应用技能；熟悉CSS、JS等Web前端技术，具备JAVA或C#开发语言的初级应用技能；

3、逻辑思维清晰，有较强的独立思考能力和分析解决问题能力；

4、有良好的沟通能力、人际交往能力和组织协调能力。

岗位职责：

1、负责ERP、CRM、WMS等应用系统的运维工作；

2、负责ERP物料档案的添加和维护工作；

3、负责信息系统SOP操作规程、软件确认等文件的撰写；

4、负责利用帆软报表软件进行电子报表的开发工作；

5、领导交办的其他工作。"
4,软件开发工程师,WEB前端研发工程师,10-15k·14薪,南京-江宁区,1-3年-统招本科-Javascript-HTML5-Vue-Echarts-ElementUI,1-3年-统招本科-Javascript-HTML5-Vue-Echarts-ElementUI,优速网络科技,计算机软件-融资未公开-100-499人,南京-江宁区,计算机软件-融资未公开-100-499人,"职责描述：
1. 负责系统前端页面模块的设计、编码实现和与后台的交互。
2. 优化前端的体验，并能解决不同分辨率下弹性自适应布局。
3. 积极响应产品需求并进行开发和交付。
4. 参与产品的架构优化，性能优化并辅助其他模块进行技术实现。
5. 热衷于前端开源项目技术研究，对可视界面有一定的美感。




","任职要求：
1. 计算机及相关专业，本科及以上学历，有1年以上前端开发经验者优先；
2. 精通JavaScript、jQuery、Ajax等前端技术，熟悉HTML5/CSS3，熟悉W3C标准；
3. 熟练运用Vue框架，有Vue项目经验，能够使用Vue进行组件开发，项目框架构建优化；
4. 熟练使用Echarts图表库开发大屏页面、掌握主流的UI组件库(不限于ElementUI、iView)；
5. 熟练使用git、node、webpack等常见的开发工具；
6. 能与后端开发工程师友好的沟通合作，保证产品研发工作的质量和进度，有视频等多媒体开发经验优先；
7. 良好的沟通能力，可以对研发任务分解、需求细化、关键技术评估等。"
5,软件开发工程师,技术测试岗（前端自动化测试方向）,15-18k·20薪,重庆,经验不限-本科-Web测试-软件测试-自动化测试-功能测试-系统测试,经验不限-本科-Web测试-软件测试-自动化测试-功能测试-系统测试,某上市银行总行,银行-已上市-500-999人,重庆,银行-已上市-500-999人,"岗位职责：
1、负责前端自动化测试工作，设计、开发和实现测试用例及测试流程。
2、熟练掌握各种自动化测试框架和工具，录制、编写自动化测试脚本，实现对功能测试案例的自动化回归。
3、负责分析应用程序中的缺陷，与开发团队合作，提出解决方案，定期回顾现有的测试策略和流程，保证测试的有效性和完整性。
4、查明自动化回归中出现的各种问题的原因，并持续优化自动化测试脚本。
5、在对目标系统及其测试案例足够熟悉之后，需统一规划管理，将重复度高的脚本独立成公共模块，供多个案例重复使用，提高脚本编写效率。
","岗位要求：
1、具有较强的团队合作意识，能够与开发团队积极沟通，提升测试效率。
2、熟悉各种主流浏览器（如chrome、firefox、edge等），对浏览器脚本和开发者工具有一定的使用经验。
3、熟悉HTML标记语言结构、常用标签，掌握css-selector等页面元素定位方法。
4、掌握至少一种代码编写工具，如vscode等。
5、具有一定的脚本或代码经验，熟悉条件控制、循环控制、函数、异常处理、并行、同步异步等基本的编程思想。
6、了解Selenium、Cypress等web自动化测试工具。
7、了解JavaScript、JSON等基础知识。
8、具有较强的学习适应能力，对于不熟悉的软件、业务需求、测试案例，经简单培训后，能快速上手，并理清业务流程。
9、熟悉表格类办公软件（如excel、wps），特别是实用函数的使用。
"
6,软件开发工程师,WEB前端开发工程师,10-17k,上海-杨浦区,1-3年-本科-前端开发-框架开发-框架设计-移动开发-Javascript,1-3年-本科-前端开发-框架开发-框架设计-移动开发-Javascript,上海蓝鹊,制药-天使轮-100-499人,上海-杨浦区,制药-天使轮-100-499人,"工作职责
1、负责前端H5、小程序等前端业务需求设计以及开发；
2、具有前端工程化，组件化开发经验，按时高质量实现业务诉求
3、持续优化技术，提高产品用户体验，能迭代平台组件库建设
4、驱动自身与产品/UI/测试/后端团队密切合作，进行系统整合开发，推进项目满足业务诉求


","任职资格
1、本科及以上学历，软件等相关专业 
2、精通Javascript， H5，CSS3，自适应布局
3、熟悉主流的前端应用开发框架，如VUEJS，React，JQuery等及其类库，有丰富的PC和移动端开发，兼容性，性能优化经验
4、熟悉Photoshop\AI\Axure等相关平面设计软件"
7,软件开发工程师,前端开发,10-15k,深圳,3-5年-统招本科-Echarts-D3.js-Javascript-电商领域-商业信息化-银行领域-保险领域-大数据领域-云计算领域-金融领域,3-5年-统招本科-Echarts-D3.js-Javascript-电商领域-商业信息化-银行领域-保险领域-大数据领域-云计算领域-金融领域,某知名公司,人工智能-C轮-500-999人,深圳,人工智能-C轮-500-999人,"
岗位职责：
1.负责数据分析平台的web前端开发，场景包括各类报表开发、自定义报表、图表可视化、画布和拖拽、动画等；
2.负责数据分析平台的前端架构设计、前端组件库的建设、优化Web页面性能、解决不同浏览器兼容性问题；
3.通过技术手段，提升用户体验并满足高性能要求；
","岗位要求：
1.软件工程，计算机或相关专业；
2.计算机基础扎实，热爱编程，扎实的编程能力；
3.了解d3js, 熟练使用echart等；
4. 熟练掌握 JavaScript，熟练掌握一种前端开发框架，如React等；
5.掌握git使用,有良好的代码风格习惯；
6.具备较强的责任感、团队合作精神
重点：
至少2年前端开发经验，熟悉react 框架

"
8,软件开发工程师,高级/资深前端开发工程师,20-30k,广州-黄埔区,5-10年-大专-web开发-Javascript-HTML-CSS-Vue-React,5-10年-大专-web开发-Javascript-HTML-CSS-Vue-React,新疆华奕新能源科技有限公司,新能源-融资未公开-100-499人,广州-黄埔区,新能源-融资未公开-100-499人,"
【岗位职责】
1.负责公司物联网平台产品的前端开发和维护工作，确保系统的稳定性和性能；
2.负责分析和解决前端技术问题，提出合理的解决方案；
3.根据项目需求，参与前端技术选型和方案设计，提供专业的技术建议；
4.负责前端代码编写、测试和优化，保证代码质量和安全性；
5.配合团队成员完成项目进度和其他相关任务。
【","任职资格】
1.大专、本科及以上学历，5年以上前端领域开发经验，有系统核心功能模块设计、架构搭建经验；
2.至少独立负责过一个业务板块的整体前端技术，并能够系统化的架构文档输出，在前端的性能优化、组件化和模块化方面的实践经验有一定积累； 
3.对用户体验有追求，积极思考产品的前端体验问题，并提出自己的建议。热衷前端的前沿技术学习和实际的应用；能保持对前沿知识的跟进和理解； 
4.精通各种web前端技术 (HTML/CSS/JavaScript），掌握主流前端框架的源码实现(React/Vue)，理解框架背后的思想，可以持续改进完善业务框架；熟悉前端工程化工具，如CI/CD流水线、webpack、Vite等； 
5.有大屏/BIM 3D可视化开发经验者优先。"
9,软件开发工程师,高级软件测试工程师（前端测试方向）,15-30k·15薪,南京-江宁区,经验不限-本科-自动化测试-单元测试-回归测试-Python-Shell,经验不限-本科-自动化测试-单元测试-回归测试-Python-Shell,汇川技术,工业自动化-沪深A股上市-10000人以上,南京-江宁区,工业自动化-沪深A股上市-10000人以上,"工作职责：
1、负责数字化平台前端模块测试工作，能够主导完成测试方案及测试计划制定，跟踪测试进度，保障项目质量
2、参与数字化平台需求评审、设计评审，并提出优化改进意见
3、能够独立执行测试任务，完成测试用例编写、测试用例评审、测试执行、回归及测试报告输出全流程
4、不断学习新的测试技术和工具，输出经验文档并组织分享赋能
5、优化组织流程，提升测试效率
","任职资格
1、具备低代码平台测试经验，对组件、平台的有较强的测试思路
2、有质量保障的思路
3、熟悉python、javascript、CSS、HTML5、shell语言，具备测试工具或脚本开发能力，可以独立编写测试辅助工具或脚本。
4、熟悉常用的测试工具，禅道、xmind、jmeter、postman、mysql、mongodb、redis等
5、熟悉自动化测试框架，如pytest、unitest、RF、selenium等，能够根据框架要求编写自动化测试脚本
6、熟悉TCP/IP协议及互联网常见应用和协议的原理
7、对数据结构有一定的了解
8、具备较高的质量意识、团队合作意识、良好的沟通和理解能力、系统化思考能力"
10,软件开发工程师,外贸主管（国外出差）,15-25k,苏州-工业园区,5-10年-本科-客户管理-贸易/进出口-市场洞察,5-10年-本科-客户管理-贸易/进出口-市场洞察,皇珈叉车,机械/设备-融资未公开-100-499人,苏州-工业园区,机械/设备-融资未公开-100-499人,,
11,软件开发工程师,前端工程师,15-20k,广州-越秀区,3-5年-本科-前端开发-架构设计-HTML-HTML5-Javascript-Webpack,3-5年-本科-前端开发-架构设计-HTML-HTML5-Javascript-Webpack,数字广东,互联网-2000-5000人,广州-越秀区,互联网-2000-5000人,"职责描述:
1、负责前端架构的建立和实施，主导前端架构的开发，制定合理有效的开发规范；
2、负责梳理和优化前端开发流程，搭建高效集成的前端开发环境，提高前端开发质量和效率；
3、负责优化与重构前端代码，并整理出可重用的代码模块；
4、持续优化产品性能、用户体验、交互效果；
5、通过各种前端技术手段，提升用户体验并满足性能要求。

","任职要求:
1、熟练使用HTML/CSS/JavaScript(ES5、ES6)；
2、熟悉LESS/SASS/bootstrap/jQuery等前端主流开发技术;
3、熟悉Webpack或其他构建工具;
4、有Git或其他版本控制工具的使用经验;
5、具备良好的代码风格与编程习惯;
6、至少掌握React、Angular、Vue中一种框架;
7. 理解网页标准，能很好解决浏览器兼容问题,熟悉移动端主流浏览器的适配，深刻理解手机平台上各主流浏览器之间的兼容性;
8、熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML5特性构建移动端的WebApp，熟悉Html5通讯。"
12,软件开发工程师,前端自动化测试,20-30k,重庆-江北区,3-5年-学历不限-Web测试-自动化测试-功能测试-系统测试,3-5年-学历不限-Web测试-自动化测试-功能测试-系统测试,某重庆知名银行公司,银行-已上市-10000人以上,重庆-江北区,银行-已上市-10000人以上,"岗位职责：
1、负责前端自动化测试工作，设计、开发和实现测试用例及测试流程。
2、熟练掌握各种自动化测试框架和工具，录制、编写自动化测试脚本，实现对功能测试案例的自动化回归。
3、负责分析应用程序中的缺陷，与开发团队合作，提出解决方案，定期回顾现有的测试策略和流程，保证测试的有效性和完整性。
4、查明自动化回归中出现的各种问题的原因，并持续优化自动化测试脚本。
5、在对目标系统及其测试案例足够熟悉之后，需统一规划管理，将重复度高的脚本独立成公共模块，供多个案例重复使用，提高脚本编写效率。
","岗位要求：
1、具有较强的团队合作意识，能够与开发团队积极沟通，提升测试效率。
2、熟悉各种主流浏览器（如chrome、firefox、edge等），对浏览器脚本和开发者工具有一定的使用经验。
3、熟悉HTML标记语言结构、常用标签，掌握css-selector等页面元素定位方法。
4、掌握至少一种代码编写工具，如vscode等。
5、具有一定的脚本或代码经验，熟悉条件控制、循环控制、函数、异常处理、并行、同步异步等基本的编程思想。
6、了解Selenium、Cypress等web自动化测试工具。
7、了解JavaScript、JSON等基础知识。
8、熟悉表格类办公软件（如excel、wps），特别是实用函数的使用。"
13,软件开发工程师,信息技术部前端研发工程师（web）(J10990),15-26k·18薪,南京-建邺区,1-3年-本科-前端开发-系统开发-HTML-HTML5,1-3年-本科-前端开发-系统开发-HTML-HTML5,国新证券股份有限公司,基金/证券/期货-1000-2000人,南京-建邺区,基金/证券/期货-1000-2000人,"职责描述：
1.与产品设计师、后端工程师协作，参与设计和开发公司相关软件产品，负责前端模块的技术实现；
2.负责前端关键技术难题的攻关，新技术的调研工作，以实现复杂的功能需求；
3.负责安排具体项目的系统设计和详细设计，控制设计质量，确保项目按期完成。
","任职要求：
1.本科及以上学历，硕士研究生优先，计算机、软件等相关专业，
2.有1年以上WEB开发经验优先；有大型网站系统项目开发经验者优先；
3.有扎实的前端技术基础，熟练掌握HTML5，掌握Ajax、Canvas、CSS、Jquery、JavaScript等前端开发技能；有复杂用户界面与交互应用开发经验，注重设计细节，有较强的用户界面设计功底及创意；
4.有开发管理经验优先，包括研发任务分解、需求细化，关键技术路线评估等；熟悉Scrum软件开发过程以及相关管理和跟踪工具（Git/SVN、JIRA、Gerrit）；
5.通过证券业一般水平评价测试；
6.精通计算机，熟悉证券业务，具有较强的沟通能力、组织协调能力、表达能力，工作踏实、认真，具有较强责任心和抗压能力。"
14,软件开发工程师,软件开发工程师,11-16k·13薪,青岛,3-5年-本科-框架设计-框架开发-前端开发-大数据领域-系统开发-CSS-Javascript,3-5年-本科-框架设计-框架开发-前端开发-大数据领域-系统开发-CSS-Javascript,某知名高校,教育培训-融资未公开-500-999人,青岛,教育培训-融资未公开-500-999人,"岗位职责:
1、熟练掌握云开发模式的小程序开发，有使用第三方云开发平台服务经验为佳（laf云）；
2、熟练掌握JavaScript，熟悉HTML5/JSON前端开发技术，熟悉DIV+CSS布局；
3、有vue框架开发经验；
4、对代码可维护性、前端性能优化等有深入研究。



","任职要求:
1、根据工作安排高效、高质地完成代码编写，确保符合规范的前端代码规范;
2、负责公司现有项目和新项目的前端修改调试和开发工作;
3、与设计团队紧密配合，能够实现实现设计师的设计想法;
4、为人诚实正直，做事认真负责，具有良好的沟通和团队协作能力。
5、3-5年的软件产品开发经验，有教育行业相关系统开发经验者优先"
15,软件开发工程师,护士长,12-15k·13薪,上海,经验不限-本科-客户导向-培养下属-精神科-心理科,经验不限-本科-客户导向-培养下属-精神科-心理科,曼朗医疗,咨询服务-100-499人,上海,咨询服务-100-499人,"职责描述:
1. 负责门诊前端服务管理与持续提升，包括但不限于日常护理、护理管理、院感与质控管理、客户预约和服务、客户体验工作，以及每日部门内人力调配；
2. 完善护理相关制度及流程，制定工作计划；
3. 负责门诊院感、医疗耗材、器械，环境的管理，协助门诊质控管理；
4. 安排护理业务学习，加强劳动纪律，积极改善服务，促进客户满意度达成；
5. 做好客户接待工作，包括客户预约、接待、服务产品介绍、收费、随访等；
6. 具有客户服务和营销意识，可以积极挖掘客户需求，促进业绩提升；
7. 具有团队合作精神，可以配合其他部门的工作；
8. 积极配合并落实上级部门提出的其他工作要求。
","任职要求:
良好的沟通能力和突发事件应对能力，有同理心及良好的服务意识。"
16,软件开发工程师,WEB前端工程师（常驻大阪）,20-45k·14薪,上海-黄浦区,3-5年-大专-Vue-MVVM-前端开发-MobX-CSS-HTML,3-5年-大专-Vue-MVVM-前端开发-MobX-CSS-HTML,DOUBLE KOI TECHNOLOGY SERVICES,区块链-50-99人,上海-黄浦区,区块链-50-99人,"岗位职责
1、网站核心业务架构； 
2、网站性能优化； 
3、根据业务需求，进行Vue组件化开发； 
4、国际化相关开发经验； 
5、能为其他工程师提供良好的建议和把 控代码质量。
","岗位要求
1、前端基础知识扎实，熟练掌握原生 JS、 CSS、HTML； 
2、熟练掌握一个前端 MVVM 框架， Vue/React，熟悉单向数据流框架 Mobx/Redux/Vuex； 3、了解一门后端语言，Node.js、php、 java、go 等；
 4、3年左右前端开发经验（能力特别突 出者例外）； 
5、拥有良好的面向对象编程思想，具备 匠心精神，雕琢每一行代码（性能、简约、 兼容）； 6、良好的学习能力，能够快速学习一门 新技术并实践； 
7、做事靠谱，能够独当一面； 
8、英文文档阅读能力"
17,软件开发工程师,CPU IC设计工程师（南京）,30-60k·15薪,南京-雨花台区,5-10年-统招本科,5-10年-统招本科,某深圳电子/半导体/集成电路公司,电子/半导体/集成电路-A轮-100-499人,南京-雨花台区,电子/半导体/集成电路-A轮-100-499人,【,"任职要求】
1. 计算机、电子、微电子等相关技术专业，本科以上学历；
2. 精通 Verilog 语言，精通数字IC前端设计与验证流程；
3. 掌握计算机体系结构，有处理器设计经验者优先；
4. 熟悉 AMBA 等总线协议，对 SOC 芯片架构有一定的理解；
5. 具有强烈的责任心与团队合作精神，具有良好的沟通能力，乐于钻研。

【岗位职责】
1. 参与公司自研处理器架构及指令集定义；
2. 负责处理器子模块的微架构定义与 RTL 实现；
3. 参与处理器的性能分析与 PPA 调优；
4. 参与处理器子模块与处理器系统的逻辑验证。"
18,软件开发工程师,前端开发工程师,15-25k,上海,经验不限-本科-前端开发-webpack-typescript-小程序,经验不限-本科-前端开发-webpack-typescript-小程序,欣和食品,食品/饮料/酒水-5000-10000人,上海,食品/饮料/酒水-5000-10000人,"岗位职责：
1.负责BI项目前端业务开发和组件开发；
2.配合产品，进行前端开发和交互优化；
3.通过前端技术手段，提高用户体验并满足性能要求；
4.与后端和产品进行高效沟通协作，保证项目高效迭代；
5.前沿技术研究分享并用于实践，帮助团队共同成长。
","任职资格：
1.全日制本科及以上学历，计算机或相关专业优先；
2.3年以上数据可视化项目前端开发经验，对一到多个专项技术领域有较深入研究；
3.熟练使用vue.js框架和生态，并对其实现原理有深刻理解；
4.精通HTML5/CSS3/Javascript，有ES6，TypeScript，webpack的实践经验；
5.具有丰富的H5、Hybird APP、微信小程序开发经验，熟悉web各宿主环境特性；
6.对模块化，组件化，前端工程化有所认识，熟悉echarts，element-ui，有组件开发经验；
7. 至少掌握一门后端开发语言，Node.js/Golang/Java；
8.沟通顺畅，逻辑清晰，极强的团队协作精神，优秀的学习能力与创新能力，对技术有追求；
9.加分项：参与开源项目建设、独立开发组件库、Node.js/Flutter实战经验。

"
19,软件开发工程师,射频工程师,20-40k,上海-浦东新区,3-5年-本科-天线-PCB设计-硬件设计-EMC设计,3-5年-本科-天线-PCB设计-硬件设计-EMC设计,红杉中国,基金/证券/期货-100-499人,上海-浦东新区,基金/证券/期货-100-499人,"职责描述：
1、负责MHz射频天线的设计和开发工作，并输出相关技术文档；
2、负责天线前端驱动链路的设计与优化；
3、配合结构工程师完成天线布局的设计和评估；
4、根据系统需求制定实施计划，协助完成相关测试工作；
5、主导解决射频天线相关问题，跟踪环境、电磁兼容等试验；


","任职要求：
1、本科以上学历，电磁场与微波技术、通信、电子、无线电微波等相关专业，硕士以上优先；
2、具有一年以上天线设计开发经验，对天线设计、加工工艺有较深入的理解，有NFC、RFID以及无线充电电路和天线设计经验者优先；
3、扎实掌握电磁场方面的专业基础知识，熟悉阵列天线原理，具有较强的独立分析解决问题能力；
4、熟练掌握HFSS、CST和FEKO等电磁仿真软件；
5、熟练使用微波暗室以及各种测试仪器，如示波器、频谱仪、网络分析仪、信号源等；
6、具有优秀的团队合作意识、良好的沟通协调能力、较强的工作责任心。
"
20,软件开发工程师,数字电路设计工程师,30-60k·18薪,深圳-福田区,3-5年-本科,3-5年-本科,麦斯塔微电子,电子/半导体/集成电路-A轮-50-99人,深圳-福田区,电子/半导体/集成电路-A轮-50-99人,"麦斯塔微电子是聚焦在全硅MEMS振荡器方向的科技企业，团队班底均来自国内外的知名头部企业，拥有近20年的相关领域的产品开发和市场经验。全硅MEMS振荡器是急需国产化替代的赛道，麦斯塔自成立以来受到多家知名风投机构和产业投资方的投资和扶持！现招募模拟设计经理、数字设计经理、模拟设计工程师、数字设计工程师、数字验证工程师、版图工程师，IC测试验证工程师等岗位，常驻地点可选深圳、上海、广州、西安和珠海等地，欢迎有识之士加入，为中国的MEMS振荡器行业贡献自己的力量！

岗位职责：
1、参与项目的数字电路规划；参与工艺选型评估；
2、根据芯片规格，参与制定数字电路规格；
3、负责数字模块设计方案文档的撰写；
4、负责数字电路设计和UT；
5、指导后端FloorPlan，完成版图设计。

","任职要求：
1、集成电路相关专业本科及以上学历，或者数字芯片设计相关工作经验； 
2、有实际数字电路设计经验和成功流片经验；有数模混合芯片或传感器芯片设计经验优先；
3、精通verilog编码和UT验证；精通算法相关逻辑设计；
4、精通数字时钟树、复位树和MBIST/DFT扫描链的设计；
5、熟悉静态时序分析、网表形式验证等，熟悉spyglass、 Design Compiler、primetime、formality等EDA工具；
6、熟悉后端PR的流程和需求，能支持后端完成网表signoff；熟悉标准工艺库，有支持后端完成FloorPlan、时钟综合、功耗分析经验者更佳。"
21,软件开发工程师,数字前端设计工程师,20-40k·16薪,苏州,5-10年-硕士,5-10年-硕士,芯朋微电子,电子/半导体/集成电路-已上市-100-499人,苏州,电子/半导体/集成电路-已上市-100-499人,"职责描述：
（1）负责芯片设计项目中数字前端设计开发工作，包括SOC芯片前端RTL设计、RTL验证、形式验证、RTL综合、时序验证、DFT/ATPG等工作，实现芯片功能、性能要求；
（2）与模拟设计工程师配合，协助提供模拟接口的时序控制以及混合仿真；
（3）协助验证工程师完成芯片的验证与调试；
（4） 协助测试工程师完成芯片的测试与调试；
（5） 建立、维护，并改进SOC前端实现flow。

","任职要求：
（1）微电子/集成电路相关专业，硕士研究生以上学历，3年以上工作经验，同时接受应届生；
（2）熟悉数字集成电路前端设计流程和工具，包括仿真、综合、代码检查、时序分析等，具备FPGA验证经验；
（3）熟练编写Verilog/SV/C/脚本，有完整的模块级电路设计经验，有MCU/SoC设计经验更佳。
"
22,软件开发工程师,前端,18-35k·14薪,深圳-龙岗区,5-10年-统招本科-智能制造-半导体-CIM,5-10年-统招本科-智能制造-半导体-CIM,上海朋熙半导体有限公司,电子/半导体/集成电路-100-499人,深圳-龙岗区,电子/半导体/集成电路-100-499人,"岗位职责：
1、负责公司产品web端页面开发；
2、负责前端服务的上线、维护；
3、与团队一起调研学习Web前沿技术并用于实践。
","任职要求：
5年以上工作经验
1、精通DIV+CSS网页框架布局的HTML代码编写，熟悉W3C标准；
2、使用Vue2、Vue3开发过实际项目、有至少1年以上实际项目经验
3、精通各主流浏览器（IE6+、Firefox、Chrome、Safari）间的差异性，能快速定位和解决各种兼容难题；
4、熟悉JavaScript、Ajax、ExtJS等各种Web前端开发技术，具备一定的跨浏览器开发经验；
5、掌握至少一种常用前端工程工具（Webpack/Gulp...）的使用
6、熟悉git操作"
23,软件开发工程师,资深射频前端工程师7082,25-50k,西安,经验不限-硕士-射频电路-集成电路-频谱分析仪,经验不限-硕士-射频电路-集成电路-频谱分析仪,紫光展锐,电子/半导体/集成电路-2000-5000人,西安,电子/半导体/集成电路-2000-5000人,"职责描述:
1. 负责紫光展锐平台射频前端解决方案相关的硬件研发和应用工作。包含需求分析、子系统设计、电路设计、产品验证、客户支持等；
2. 负责射频前端领域的技术研究与实现，提升平台的射频性能和竞争力；
3. 负责协议规范的分析和射频系统指标、芯片指标的定义；
4. 负责平台试产、量产、售后过程中射频相关业务的技术支持、问题分析定位和优化.
","任职要求:
1.电磁场与微波、电子信息、通信、微电子等相关专业，硕士及以上学历；
2.具备电磁场与微波，高频电路，通信理论基础；
3.掌握射频测试的理论与方法，熟悉综测仪、频谱仪、矢量网络分析仪等射频仪表的使用；
4.熟悉一种或以上常用的仿真、分析工具：HFSS、HFSS 3D layout、SIWAVE、ADS、RFPro、Cadence、Matlab、Python等；
5.具备良好的学习和文档撰写能力；
6.具备良好的沟通能力，团队合作精神，积极主动，有责任心；7.有射频前端开发及应用经验者优先。"
24,软件开发工程师,WEB前端工程师（常驻大阪）,20-45k·14薪,北京-朝阳区,3-5年-大专-Vue-MVVM-MobX-前端开发-CSS-HTML,3-5年-大专-Vue-MVVM-MobX-前端开发-CSS-HTML,DOUBLE KOI TECHNOLOGY SERVICES,区块链-50-99人,北京-朝阳区,区块链-50-99人,"岗位职责
1、网站核心业务架构； 
2、网站性能优化； 
3、根据业务需求，进行Vue组件化开发； 
4、国际化相关开发经验； 
5、能为其他工程师提供良好的建议和把 控代码质量。
","岗位要求
1、前端基础知识扎实，熟练掌握原生 JS、 CSS、HTML； 
2、熟练掌握一个前端 MVVM 框架， Vue/React，熟悉单向数据流框架 Mobx/Redux/Vuex； 3、了解一门后端语言，Node.js、php、 java、go 等；
 4、3年左右前端开发经验（能力特别突 出者例外）； 
5、拥有良好的面向对象编程思想，具备 匠心精神，雕琢每一行代码（性能、简约、 兼容）； 6、良好的学习能力，能够快速学习一门 新技术并实践； 
7、做事靠谱，能够独当一面； 
8、英文文档阅读能力"
25,软件开发工程师,前端开发工程师(J28199),10-15k,青岛-市南区,3-5年-本科-Vue-移动开发-ECMAScript 6-ECMAScript-CSS-HTML5-HTML-Webpack,3-5年-本科-Vue-移动开发-ECMAScript 6-ECMAScript-CSS-HTML5-HTML-Webpack,海信集团,家电-10000人以上,青岛-市南区,家电-10000人以上,"工作职责:
1、按照产品策划或项目计划，进行项目开发工作维护工作
2、负责前端组件封装、页面构建和对接调试
3、负责解决开发过程中的技术问题
4、负责优化及提高前端页面的性能，提升用户的交互体验
","任职资格:
1、3年以上工作经验，本科及以上学历，熟练使用html5、es6、css3等技术；
2、2年以上vue项目开发经验，熟悉移动端开发；
3、熟练使用git代码版本控制工具；
4、熟悉模块化、前端编译和构建工具，如Yarn、Npm、Webpack等；"
