序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
196,软件开发工程师,前端开发工程师,15-25k,上海-徐汇区,5-10年-本科-前端开发-Vue-React-CSS-HTML-HTML5-SQL-Javascript-医疗领域-大数据领域,5-10年-本科-前端开发-Vue-React-CSS-HTML-HTML5-SQL-Javascript-医疗领域-大数据领域,柯林布瑞,计算机软件-B轮-100-499人,上海-徐汇区,计算机软件-B轮-100-499人,"岗位职责：
1、负责web产品的前端开发和手机H5页面开发；
2、负责相关产品需求的实现，提供合理的前端架构；
3、负责数据部产品开发及已有系统的开发维护
3、负责将设计团队的产品转换为XHTML，以及CSS样式；
4、参与UI设计、产品、后台开发人员保持良好沟通，能快速理解、消化各方需求，并落实为具体的开发工作。

","任职资格：
1、统招本科及以上学历，计算机相关专业，5年及以上前端开发经验；
2、熟练掌握HTML/ES6/CSS3等前端开发技能，确保高保真还原设计，处理浏览器兼容性问题；
3、熟练掌握React/VUE前端框架开发，熟练使用elementUI，ant-design等第三方库，有组件封装，源码开发能力 
4、熟悉webpack的配置和使用，熟悉nginx,openresty等代理工具配置使用
5、具有一定的后端开发理解能力，了解后端开发语言java,sql，数据库结构等。
6、有数据类运维监控等管理系统研发经验及后端开发经验优先；
7、工作严谨认真，能承受较大的工作压力，具有良好的敬业精神和团队合作精神."
197,软件开发工程师,WEB前端工程师（私募通）,15-20k,北京-朝阳区,1-3年-统招本科-前端开发-Echarts-Vue-移动开发-框架开发-框架设计-后端开发-Layui,1-3年-统招本科-前端开发-Echarts-Vue-移动开发-框架开发-框架设计-后端开发-Layui,清科集团,基金/证券/期货-100-499人,北京-朝阳区,基金/证券/期货-100-499人,"岗位职责
1、负责Web项目/微信小程序开发、性能优化和兼容性处理；
2、能够根据产品设计，分析并给同最优的前端技术解决方案；
3、配合产品经理、设计师和后端开发实现产品界面和功能要求；
4、根据工作安排，高效和高质量的完成代码编写，有良好的编码习惯。
","岗位要求
1、3年以上web前端开发经验，1年以上小程序开发经验；
2、精通Vue框架，具备组件化开发思路和经验；
3、扎实的HTML、CSS、JavaScript、JQuery和Ajax等Web前端技术；
4、熟悉微信小程序开发及优化；
5、熟悉常见的前端框架、库、工具，例如Ant、ECharts 、layUI等"
198,软件开发工程师,前端工程师（React）,28-40k,北京,3-5年-本科-后端开发-架构设计-Koa-Express-React-Vue-前端开发-Web开发,3-5年-本科-后端开发-架构设计-Koa-Express-React-Vue-前端开发-Web开发,某北京基金/证券/期货公司,基金/证券/期货-融资未公开-100-499人,北京,基金/证券/期货-融资未公开-100-499人,"工作职责：
l   负责公司多个Web系统的前端技术架构设计和技术选型，编写高质量代码。
l   负责公司多个Web系统的业务功能实现、图形化展示以及交互流程的设计。
l   负责微信小程序的维护和开发。
l   负责前端通用架构、构建工具与组件库的建设。
l   深入理解业务，推动需求的完善和快速落地，攻克项目疑难问题。
","任职要求：
l   4年以上前端工作经验。
l   计算机基础扎实，熟悉常见的数据结构、算法和设计模式。
l   熟练掌握HTML5,CSS3,JavaScript,TypeScript,ES5/6，以及各种排版布局。
l   熟练使用React/Vue框架进行Web应用开发，熟悉Redux以及相关中间件。
l   熟悉Nodejs后端开发技术，熟悉KOA/Express等框架，能够熟练开发后端接口。
l   熟悉客户端渲染以及服务端渲染，熟练运用Nextjs进行开发。
l   熟悉Webpack等自动化构建工具、打包优化。
l   熟悉微信小程序的开发。"
199,软件开发工程师,Web前端工程师(J10527),12-21k·14薪,深圳-福田区,1-3年-本科-Vue-React-前端开发-框架开发-框架设计-大数据领域,1-3年-本科-Vue-React-前端开发-框架开发-框架设计-大数据领域,深圳嘉立创科技集团股份有限公司,电子/半导体/集成电路-B轮-2000-5000人,深圳-福田区,电子/半导体/集成电路-B轮-2000-5000人,"职责描述：
1、参与web端云3D相关系统开发及设计；
2、负责参与Web端SaaS化平台开发；
3、具备良好的沟通能力及持续研究能力；
4、有较强的技术导向，能够灵活的运用技术实现业务需求。
","任职要求：
1、统招本科及以上学历，2年以上web工作经验；
2、精通ES5、ES6，熟悉TypeScript；
3、熟悉H5、CSS等Web前端技术，熟悉React、Vue等前端框架；
4、熟悉弹性布局、Web端、移动端适配兼容开发；
5、熟悉数据层优化设计，了解Redux、Mobx、Vuex等；
6、熟悉组件式、模块化的开发模式、良好的编码开发规范习惯；
7、对Web3D感兴趣，有SaaS应用平台开发经验优先考虑。"
200,软件开发工程师,web前端开发工程师,15-20k,北京-海淀区,5-10年-本科-前端开发-架构设计-框架开发-框架设计-React-移动开发-Web开发-界面开发-CSS-HTML,5-10年-本科-前端开发-架构设计-框架开发-框架设计-React-移动开发-Web开发-界面开发-CSS-HTML,喀斯玛,互联网-100-499人,北京-海淀区,互联网-100-499人,,
201,软件开发工程师,高级前端研发工程师,15-20k,武汉-东西湖区,1-3年-本科-框架设计,1-3年-本科-框架设计,某武汉制药上市公司,制药-已上市-10000人以上,武汉-东西湖区,制药-已上市-10000人以上,,"任职要求：
1、有物流供应链相关系统研发经验。
2、参与大型saas平台的研发经验，能独立分析和解决问题。
3、有构造大型业务系统0到1的经验。
4、有多端开发、兼容性及性能优化研发经验。
5、熟练掌握HTML5、CSS3、JavaScript,实现Web前端界面的展现与交互。
6、熟练使用主流框架，并对主流框架的底层实现原理有所了解，例如：React、Vue等。
7、熟练使用版本控制工具。


岗位职责：
1.负责根据具体应用场景进行技术选型，架构设计，产品选型，提出解决方案。
2.参与系统详细设计，评估实现难度。
3.技术类知识、经验、教训的分析、审核，指导其他开发人员的前端编码工作。
4.负责公司业务平台前端功能组件的设计和开发，提供给其他开发人员使用。
5.负责前端整体框架搭建，并培训指导开发人员使用；
6.负责系统的核心开发。
7.注业界最新技术动态和方向，结合公司业务和现有技术特点，负责对新技术预研，引进实践落地。"
202,软件开发工程师,中高级前端开发工程师,12-20k,成都-高新区,5-10年-本科-HTML5-Linux-教育领域,5-10年-本科-HTML5-Linux-教育领域,四川鸿学金联科技集团有限公司,在线教育-100-499人,成都-高新区,在线教育-100-499人,"岗位职责
- 参与项目需求分析，编写详细的技术方案及开发计划，包括技术选型、模块划分、开发工期等。
- 负责 Web 前端架构设计和核心模块的开发工作，能编写高质量、可复用、易维护的代码。
- 引导和帮助团队成员解决技术上的问题，以及在技术上的成长。
- 承担较难的开发任务，及时完成并保证代码质量，按期交付相关功能模块。
- 优化 Web 应用性能，提升用户体验。
- 参与并主导新技术的调研和推广，提高项目开发效率。

","任职要求
- 计算机相关专业本科以上学历。
- 5 年以上 Web 前端开发经验，熟悉 Web 前端技术，如 HTML、CSS、JavaScript、React、Vue 等。
- 熟练使用 Vue2 / Vue3 前端开发框架。
- 掌握前端工程化及自动化工具，如 Webpack、Babel、ESLint、Gulp 等。
- 对前端性能优化、安全、可访问性和适应性（Responsive）有深入理解。
- 熟练使用版本控制系统，如 Git。
- 具备良好的团队协作和沟通能力，能够主导并帮助团队成员提高技术能力。
- 具有良好的英文读写能力，能阅读英文技术文档。

有过 TypeScript、Node.js 开发经验者优先考虑。"
203,软件开发工程师,前端开发工程师（数据中台/react）,16-23k·13薪,广州-天河区,1-3年-统招本科-前端开发-React-大数据领域-云计算领域-数据中台,1-3年-统招本科-前端开发-React-大数据领域-云计算领域-数据中台,德科信息,互联网-战略投资-5000-10000人,广州-天河区,互联网-战略投资-5000-10000人,,
204,软件开发工程师,前端开发工程师,15-25k·14薪,上海,经验不限-统招本科-界面开发-Vue-React-前端开发-脚本语言-Python,经验不限-统招本科-界面开发-Vue-React-前端开发-脚本语言-Python,魔珐科技Xmov,互联网-C轮-100-499人,上海,互联网-C轮-100-499人,"岗位职责：
1、负责公司 PC端、客户端、移动端项目的前端研发；
2、持续优化前端页面体验与性能。

","任职要求：
1. 熟练掌握常见 Web 开发技术，精通或熟练原生 js；
2  熟练掌握 Vue、React 等框架的基本原理和使用；
2. 了解常用的设计模式, 遵循良好的代码规范，善于改进、优化代码；
3. 沟通良好，有责任心，团队协作能力强。

加分项：
1. 有小程序（原生或跨端）开发经验；
2. 有原生或者混合应用的开发经验（QT/Andorid/iOS/Electron等)；
3. 掌握一门脚本语言(如python)；
5. 有自己的输出（主页、blog或作品）；
4. 985/211学历优先考虑。
"
205,软件开发工程师,中高级前端开发工程师,12-24k,深圳-福田区,3-5年-本科-框架开发-框架设计-前端开发-TypeScript-Javascript-ECMAScript 6-ECMAScript,3-5年-本科-框架开发-框架设计-前端开发-TypeScript-Javascript-ECMAScript 6-ECMAScript,鹰玑堡信息技术有限公司,电子商务-50-99人,深圳-福田区,电子商务-50-99人,"岗位职责：
1.根据软件需求说明书、架构设计、概要设计、UI设计等，完成PC端Web前端基础框架、交互逻辑处理等代码的编写与测试工作；
2.根据业务系统需求，对前端代码进行优化调整；
3.负责和后台开发人员进行联调测试。

","任职要求：
1.计算机相关专业，本科及以上学历，扎实的计算机以及网络基础，3年以上开发经验；
2.深入理解Web前端开发技术，包含HTML/CSS/Javascript等，熟悉ES6语法，能够独立架构并搭建前端应用；
3.对React/Vue3有深入应用并深入理解，熟悉element UI、ant-design等开发框架；
4.熟练掌握webpack、vite等构建工具，能熟练操作Git；
5.能够独立完成一个复杂模块或项目的开发工作；
6.性格开朗，善于沟通，具有良好的表达能力沟通能力；
7.具有良好的文档整理能力；
8.熟练掌握TypeScript者优先。"
