序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
773,电子工程师,电子元器件质检员,6-9k,深圳-福田区,1-3年-学历不限,1-3年-学历不限,深圳市创荣世纪科技有限公司,电子/半导体/集成电路-融资未公开-1-49人,深圳-福田区,电子/半导体/集成电路-融资未公开-1-49人,"年龄需求：25岁以上 ，熟悉IC（集成电路）电子元器件，电容电阻，PCB板等电子元器件来料检测 在电子厂工作过优先

岗位职责：
每日对来料进行检验  熟悉电子元器件 懂得识别IC  电容电阻 继电器 PCBA等 
","任职要求：
求有多年电子行业经验  懂得识别电子元器件 会看规格书  会出检测报告  会看8D报告 
懂仪器测试如：放大器、万用表等

公司福利：
1.薪资构成：6K-9K
2.试用期：3个月，表现优异者可以提前转正。
3.五险:购买社保
4.每周工作时间为5.5天，包两餐正餐，提供宿舍。
5.发展通道：晋升机会多，优先内部调岗。
6.节日福利：富有心意的节日礼品、温馨的生日礼品或者红包。
7.其他福利：不定时组织团建，每天有下午茶、餐后水果，重要节日有礼品发放，年底有7天带薪年假。"
774,电子工程师,电子元器件工程师,8-20k·13薪,苏州-工业园区,经验不限-大专,经验不限-大专,苏州杰迈微电子科技有限公司,电子/半导体/集成电路-50-99人,苏州-工业园区,电子/半导体/集成电路-50-99人,,
775,电子工程师,资深采购工程师（电子元器件方向）,8-12k,温州-龙湾区,1-3年-学历不限-电子产品,1-3年-学历不限-电子产品,浙江长江汽车电子有限公司,汽车零部件及配件-2000-5000人,温州-龙湾区,汽车零部件及配件-2000-5000人,"职责描述：
负责电子元器件材料采购，主要工作是前端开发合适的国外电子元器件材料供应商。
","任职要求：
1、有电子元器件采购经验2年以上。
2、英语水平4级以上，能流畅阅览英文网站、搜索筛选信息，具备一定的英语交流能力。
3、具备良好沟通、学习、适应能力。
4、有国外电子元器件市场采购经验优先。"
776,电子工程师,储能产品电子元器件评价专家,薪资面议,佛山,5-10年-统招本科-光伏逆变器-电子元器件-可靠性评价-储能电源,5-10年-统招本科-光伏逆变器-电子元器件-可靠性评价-储能电源,美的集团家用空调事业部,家具/家居-10000人以上,佛山,家具/家居-10000人以上,"职位描述
1、主导逆变器、电源等电力电子产品的零部件测试评审、测试方案和测试用例的设计。
2、参与元器件选型和变更评审，对设计的有效性和可靠性把关 ，对器件问题进行可靠性改进与测试验证的归零。
 3、分析解决研发，生产，市场相关器件质量问题失效分析，器件可靠性保障，总结器件失效解决方案提炼器件设计checklist，支撑产品质量的持续改进。
","任职资格：
1、本科8年，硕士5年以上光伏，储能行业电子元器件可靠性行业从业经历，自动化、电力电子、电气工程等相关专业。
2、熟悉电子元器件（IPM，IGBT， MOS ，IC，阻，容，感…）的参数，生产工艺，可靠性测试标准。 
3、具有丰富的电子元器件、电路失效分析经验，熟悉电工电子产品典型失效机理及激发应力。"
777,电子工程师,电子元器件外贸销售,10-20k·13薪,苏州-工业园区,1-3年-大专-电子元器件-英语-消费电子-贸易/进出口-电子/半导体-客户管理-经济学-电话销售-电子产品及配件-电子/半导体/集成电路,1-3年-大专-电子元器件-英语-消费电子-贸易/进出口-电子/半导体-客户管理-经济学-电话销售-电子产品及配件-电子/半导体/集成电路,苏州杰迈微电子科技有限公司,电子/半导体/集成电路-50-99人,苏州-工业园区,电子/半导体/集成电路-50-99人,,
778,电子工程师,电子元器件 销售经理,10-20k,深圳-福田区,1-3年-大专,1-3年-大专,深圳市芯晔微电子有限公司,批发/零售-1-49人,深圳-福田区,批发/零售-1-49人,"本岗位可全职坐班模式，也可是资源合作模式！

岗位职责：
1、开发电子代工厂以及行业优势客户（工控，医疗，安防，汽车电子等）,为客户提供长线服务；
2、具备一定的行业资源，客户资源，能独立处理好客户的各类电子元器件需求、报价、订单、交货及货款回收整套销售流程。
3、与目标客户建立长期战略合作关系，及时准确把握客户的需求动向，确保销售业绩的达成。
","岗位要求：
1、三年以上电子元器件分销行业工作经验，熟悉电子元器件分销商的运作模式；
3、有丰富的大客户开发及维护经验，深刻理解行业和终端客户市场需求，能根据市场趋势进行预判；
4. 丰富的客户服务经验，能够协调各种资源服务重点客户。
5.为人积极主动，乐观开朗，擅长沟通表达，能吃苦耐劳；有良好的业务拓展能力和团队协作能力。

公司福利：
1、扁平化管理，内部氛围好，员工活动丰富；
2、五险一金齐全，入职即缴
3、节假日福利，年终奖
4、清晰的职业晋升通道，优秀者薪资可面 议"
779,电子工程师,电子元器件采购专员,10-15k,深圳,3-5年-大专-供应链管理-采购管理-电子元器件-元器件采购,3-5年-大专-供应链管理-采购管理-电子元器件-元器件采购,深圳市众唯电子有限公司,电子/半导体/集成电路-1-49人,深圳,电子/半导体/集成电路-1-49人,"无电子元器件供应渠道勿投，找工厂采购职位勿投！

有大代理商分销商采购工作经验的优先录取！

岗位职责:
1.处理业务的客户询价及报价;
2.负责订单物料的采检,交期的跟进;
3.负责新供应渠道的开发,以及原有供应商关系的维护;
4.完成老板交代的其他职责内的任务。
","任职资格:
1.大专以上学历,英语相关专业优先;
2.5年以上电子元器件行业工作经验,3年以上电子元器件采购经验优先,必须有做原装货渠道的经验;
3.熟悉市场,了解电子元器件产品的基础知识(品牌、型号、封装)及国内外供货商情况;
4.必须具有正确、清晰表达所要釆购条件的谈判与沟通能力;例如规格、数量、价格、交货期限、付款方式、账期等);
5.原则性强,工作细心,能吃苦耐劳,具有成本责任识意与价值分析能力。"
780,电子工程师,采购助理（电子元器件方向）,4-6k·13薪,济南-天桥区,1-3年-大专-电子产品-供应商管理,1-3年-大专-电子产品-供应商管理,山东梅格彤天电气有限公司,电气机械/器材-融资未公开-100-499人,济南-天桥区,电气机械/器材-融资未公开-100-499人,"岗位职责：
1、负责处理PCB生产订单；
2、采购订单安排、货款安排、货期跟进、发票核对等；
3、与国内、外供应商沟通，维护供应商关系；开发和维护新的采购供应渠道；
4、采购工作中的异常问题及售后问题的处理；
5、完成领导交代的其他任务 。

","任职要求：
1、熟悉各大电子元器件品牌的采购渠道,了解电子元器件产品的基础知识（品牌、型号、封装）及国内外供货商情况 ；
2、全日制本科及以上学历，与国内外供应商能即时通讯沟通；
3、良好的沟通表达能力，积极主动，服务意识好；
4、2-3年采购或渠道开发经验，熟悉电子元器件的采购渠道；
5、有电子行业或大型工厂的电子元件采购经验，熟悉原厂和代理采购渠道的优先；
6、了解电子元器件行业信息，对采购渠道的优劣有鉴别能力，能独立完成采购流程工作。



福利待遇：

1、周末双休，缴纳五险一金；

2、丰厚的年终奖金；

3、提供免费工作午餐，传统节日发放礼品；

4、每年提供免费体检福利以及包含出国游在内的团队旅游。

工作地点：济南市天桥区二环北路康桥发展中心"
781,电子工程师,电子元器件工程师,10-15k,深圳,经验不限-大专-自驱力强,经验不限-大专-自驱力强,深圳市洲尚科技有限公司,电子/半导体/集成电路-100-499人,深圳,电子/半导体/集成电路-100-499人,"岗位职责：
1、负责销售公司代理品牌及优势渠道品牌
2、开发新客户、维护客户关系，跟进客户项目情况和研发进度
3、独立完成产品报价、合同签订，回款等日常销售工作，并能及时汇报给直属领导
4、有志于从事电子元器件行业，如有对电子元器件行业了解或是有经验优先；
5、有良好的亲和力和谈判口才，有一定的抗压能力，有信心通过自己的努力拿到高薪；
","任职要求：

1、大专以上学历对电子元器件行业有一定的了解；
2.有一年以上电子元器件销售经验优先考虑；
4.具备一定的市场分析及判断能力，良好的客户服务意识；
5.有责任心，能承受较大的工作压力；
6.性格外向、反应敏捷、表达能力强，具有很强的沟通能力；

员工待遇与福利：
1、底薪+提成+月度奖金+年度奖金，薪资丰厚无上限；只要够踏实、够努力，你也能拥抱百万年薪；
2、高提成，每月客户开发奖，订单奖，进步奖、目标奖，团队奖金等；
3、岗前培训+业务知识+多元化销售技巧+兴趣培养，新员工一对一指导（产品易销售）
4、五险一金、节日福利、带薪年假、生日party、不定期组织员工团建、国内外旅游等；
5、五天八小时制，周末双休；
6、具有良好的工作氛围，为员工提供自由广阔的发展空间，实行人性化管理."
782,电子工程师,上海电子元器件采购,15-20k,上海-徐汇区,1-3年-大专-国际采购-芯片/半导体-供应商寻源-英语,1-3年-大专-国际采购-芯片/半导体-供应商寻源-英语,安芯易电子商务(深圳)有限公司,电子/半导体/集成电路-500-999人,上海-徐汇区,电子/半导体/集成电路-500-999人,"【职责描述】： 
1、和销售团队配合，根据销售的需求，在全球范围确认渠道和采购各类电子元器件 ；
 2、向销售提供COST DOWN方案和技术支持，收集供应商库存信息 ；
 3、开发有竞争力的电子元件（各种品牌的IC，存储芯片，二，三极管等）的供应商，包括分销商/代理商/工厂库存等）； 
4、电子元器件的搜寻、谈判、下单和订单的执行；
 5、供应商管理及关系拓展。 
【","任职要求】： 
1、30岁以内，统招大专以上学历，有一年或以上电子元器件行业采购经验。
2、有强烈的电子元器件采购兴趣，性格外向，思维敏捷，行动迅速和极致责任心；
3、积极主动、责任心强，有优秀的沟通及谈判能力； 
4、有团队合作精神。 
【公司福利待遇】： 
1、提供极具竞争力的提成机制，让优秀销售快速实现买车买房目标； 
2、五天八小时工作制，周一至周五 9:00-18：00，周末双休；
3、享有国家法定节假日、五险一金、带薪年假、丰盛的下午茶及节日礼品；
4、提供额外丰富业绩奖励，包括现金、奖品等各种不同形式的奖励游戏。 
5、公司每年组织全体员工丰富的团队建设活动。"
