序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
445,通信技术工程师,卫星总体设计----科学卫星研究所,17-30k,上海-浦东新区,经验不限-硕士-力学,经验不限-硕士-力学,中国科学院微小卫星创新研究院,航空/航天设备-1000-2000人,上海-浦东新区,航空/航天设备-1000-2000人,"岗位职责：
1、卫星型号及预研项目的任务分析与方案设计、建模与仿真验证；
2、面向科学探测载荷的卫星一体化设计、控制、测试及相关的关键技术研究；
3、卫星型号项目总体设计、集成、测试、试验与在轨测试及运行；
4、领导交办的其他工作。

","任职资格：
1、飞行器设计、控制、力学、光学工程、电子通信、数学、天文、物理等相关专业毕业或具有以上专业工作经验，硕士及以上学历；
2、具有较强的任务分析能力与协调组织能力；
3、有较强的建模和仿真能力，熟练掌握Matlab、STK、simulink、ansys等工具者，具备卫星编队控制设计背景者优先；
4、身体健康，工作认真，有责任感和事业心。

单位福利：
具有市场竞争力的绩效薪酬
科研专项奖励
享受快速落户政策
享受超低上海购房价格
畅通的成长发展通道
各类劳逸结合的兴趣协会、运动场地	
自助餐厅、咖啡吧、员工超市….."
446,通信技术工程师,研发负责人（卫星通信终端）-可收购优秀卫通创业团队 (MJ000631),30-60k·13薪,深圳-龙岗区,10年以上-本科-卫通终端产品研发-卫通产品研发总-卫通研发总经理-卫星通信研发总监-卫星终端研发经理-卫星通信研发经理-通信终端研发总监-卫通研发负责人,10年以上-本科-卫通终端产品研发-卫通产品研发总-卫通研发总经理-卫星通信研发总监-卫星终端研发经理-卫星通信研发经理-通信终端研发总监-卫通研发负责人,国星宇航,互联网-C轮-100-499人,深圳-龙岗区,互联网-C轮-100-499人,"研发团队研发总经理/研发副总/研发助理总经理/研发负责人/研发总监（卫星通信终端）——可收购优秀卫通创业团队（面议），base：成都优先。另需：卫星通信终端总经理/产品总经理/产品副总经理/产品助理总等。
职位描述：
1. 负责公司卫星通信终端产品新能源终端（风力发电、光伏发电运营等）/出行终端（车辆、船舶、无人机等）/物流终端（海运集装箱、冷链运输、物流运输、危化品运输等）的产品研发和团队管理
2. 负责技术引进及创新管理；终端产品研制的立项、研发与批产流程，把控产品变更及质量管理。
3. 负责紧跟国内/国外主流终端产品的技术及要求。
4. 依托公司终端产品建立终端产品生态，形成体系化产品目录。
","任职要求：
1. 有丰富的卫星通信行业经验（卫星物联网经验优先）；
2. 有扎实的产品研发和项目管理经验，能够管理整个产品研发生命周期；
3. 具有终端或平台类产品开发经验， 对数据分析和用户反馈有深入的理解，能够借助数据优化产品研发；
4.有丰富的研发团队管理经验。
岗位title和薪酬范围构成仅供参考，可能上下浮动，具体根据人选背景能力、面试情况和定岗定级综合来定；特别优秀者再议。"
447,通信技术工程师,初中级遥感卫星数据处理软件研发工程师,6-17k,北京,经验不限-统招本科-C#-C/C++-Python-应用数学-大气遥感-fortran-算法开发-云计算领域-大数据领域-人工智能领域,经验不限-统招本科-C#-C/C++-Python-应用数学-大气遥感-fortran-算法开发-云计算领域-大数据领域-人工智能领域,华云星地通,其他行业-100-499人,北京,其他行业-100-499人,"职责描述：
1.	参与遥感卫星数据处理相关项目的实施，需求分析、系统设计、系统实现；
2.	参与项目相关算法的持续跟踪、研究和工程化实现；
3.	按照项目要求，撰写相关软件过程文档。
4.     了解国内外遥感卫星预处理算法，能够自主研发相关算法，对算法进行创新和工程化实现；

","任职要求：
1.	应用数学、大气遥感、生态遥感、光学、信号学、计算机等相关专业本科以上学历；
2.	具备一定的开发基础以及较强的算法实现能力；
3.	熟练掌握C/C++、python等多种编程语言；
4.	熟悉国内外各遥感卫星定标、定位算法；或熟悉辐射传输模式；或有人工智能、深度学习等项目经历;
5.     熟悉遥感卫星工作原理、具备国内外各遥感卫星预处理算法独立研发经历者优先；
6.     具备扎实的大气物理基础知识，熟悉辐射传输原理及模式，能够基于现有辐射传输模式进行二次开发，对同化理论有一定了解者优先。

"
448,通信技术工程师,卫星控制工程师,25-40k·14薪,北京,5-10年-本科-算法设计-Matlab,5-10年-本科-算法设计-Matlab,某知名公司,电子/半导体/集成电路-B轮-100-499人,北京,电子/半导体/集成电路-B轮-100-499人,"岗位职责：
1、负责卫星姿态控制分系统方案论证、设计与研发，以及姿控算法软件设计，部组件指标确定、选型、研制、测试、验收。
2、负责组织研制队伍实施姿控系统桌面联试、半物理仿真、参与整星模飞和AIT过程测试并对姿控系统在测试过程中的可靠性负责。
3、负责卫星的控制系统的技术攻关及工程实现。
4、负责规划姿轨控技术发展方向。

","任职要求：
1.控制工程、导航制导与控制、飞行器设计、航空航天工程等相关专业等相关专业，硕士及以上学历；
2.精通卫星姿态控制算法，熟悉 stk、matlab/simulink 等软件使用；
3.熟悉卫星研制流程，具有卫星控制系统设计测试全流程项目经验者优先；
4.具有良好的沟通能力和团队合作精神，具有一定的抗压能力。"
449,通信技术工程师,卫星数据应用设计师（社会招聘）,10-15k,重庆-沙坪坝区,1-3年-硕士-C/C++-C语言-Python-C++,1-3年-硕士-C/C++-C语言-Python-C++,航天新通,通信设备-100-499人,重庆-沙坪坝区,通信设备-100-499人,"岗位职责：
1.负责调研卫星遥感时空大数据等前沿技术；
2.参与卫星工程总体论证工作：数据应用产品及其应用场景开发与设计；
3.负责卫星大数据应用规划和设计；
4.完成领导交办的其他各项工作。
","任职要求：
1. 硕士及以上学历，大气探测、大气科学、大气物理、卫星遥感、人工智能等相关专业；
2. 有一定的编程能力，熟悉python或C++等编程语言；
3. 熟悉数值天气预报模式、卫星资料同化、机器学习算法等优先；
4.具有良好的团队精神和沟通能力；
5.具备良好的文案撰写能力，较强的逻辑思维和理解能力，具有独立分析问题和解决问题的能力。"
450,通信技术工程师,高级销售经理-卫星系统部,12-20k,成都,1-3年-本科-to B-直销-客户管理-销售管理-市场洞察-出差-电子/通信/硬件,1-3年-本科-to B-直销-客户管理-销售管理-市场洞察-出差-电子/通信/硬件,四川创智联恒科技有限公司,IT服务-其他-100-499人,成都,IT服务-其他-100-499人,"岗位职责：
1、负责卫星互联网市场的拓展，面向卫星运营商、卫星总体单位、科研院所、行业销售卫星互联网产品及解决方案； 
2、负责潜在客户及目标市场、销售线索的梳理和发掘，转化为商机； 
3、完成招投标、商务谈判等销售工作； 
4、负责销售合同的签订、执行跟踪及归档整理； 
5、进行市场调研，为公司市场、研发、产品、运营等战略实施提供保障支撑。 

","岗位要求： 
1、大学本科及以上学历，通信、计算机、网络、市场营销类等专业，善于主动学习；
2、至少掌握4/5G接入网或核心网基本知识，熟悉无线通信行业，熟悉卫星互联网行业尤佳； 
3、具备良好的沟通能力和服务精神，具有良好的项目运作、公关、商务能力，稳健的工作风格； 
4、具有独立工作能力和团队合作精神，人品厚重、朴实，遵循商业道德和职业规范。"
451,通信技术工程师,研发中心副总监（卫星通信）,30-50k·13薪,成都,5-10年-硕士-卫星通信,5-10年-硕士-卫星通信,某成都通信设备上市公司,通信设备-已上市-100-499人,成都,通信设备-已上市-100-499人,"四川创智联恒科技有限公司

岗位：研发中心副总监（卫星通信）
薪资：30K～50K
地址：成都市高新区天府五街200号菁蓉汇3A

福利待遇
1、六险一金，公积金按12％比例缴纳
2、团建基金、生日活动
3、弹性打卡、带薪年假
4、午餐补贴+晚餐补贴、通信补贴、交通补贴

面试流程
1、技术面试
2、技术总监面试
3、HR面试


职位描述
1、协助研发总经理负责制定公司产品、技术发展战略，制定部门发展规划并领导、监督和控制计划的执行落实；
2、联动市场战略，跟踪卫星通信行业技术发展趋势和业务发展动向，对前沿产品、技术有独到见解，能够带领团队开展并推进前沿技术研究布局；
3、主持重大项目技术交流，负责统筹方案撰写、技术交流，指导下属团队的工作，审核技术资料和成果，支持市场招投标运作。
4、负责主持和跟进公司级重大项目管理。对项目实施过程进行进度监督和管理，确保项目能够达到预期目标，发现项目运行过程中的异常情况，及时提出风险预警及主导解决；
5、协助研发总经理负责人才梯队建设及团队管理。

","任职要求
1、硕士及以上学历，理工科背景，具备扎实的通信、网络领域的理论专业基础；
2、5年以上技术团队管理经验，（至少一段经历有100人以上技术团队管理经验），熟悉项目管理、产品管理、技术管理各领域流程运作；在知名大厂或技术研究院有技术类管理岗位任职经历的为加分项。
3、具有卫星技术、网络技术，或载荷总体技术和路由相关的背景，熟悉卫星通信。对卫星互联网领域产品及技术发展有较为丰富的知识储备及发展认知。
4、具有创业精神、目标导向；有较强的领导力、管理能力。

"
452,通信技术工程师,项目经理（卫星遥感）,15-20k·13薪,广州-黄埔区,3-5年-本科-技术管理,3-5年-本科-技术管理,广州智寻科技有限公司,IT服务-1-49人,广州-黄埔区,IT服务-1-49人,"岗位描述：
1、负责卫星遥感等项目立项、启动、计划、执行、变更、过程、验收的全过程统筹推进和组织管理。
2、负责承担项目进度控制、成本控制、风险控制、质量控制等，确保项目按时、按质完成。
3、协调组织各类项目会议，统筹解决项目实施过程中遇到的技术、资源、配合及其它问题。
4、负责与业主沟通确认项目需求，评估项目需求可行性并及时分解项目需求任务。
5、定期编写和整理项目各类资料文档及总结报告，并及时汇报进度。
6、负责项目外协团队管理。
7、参与公司电网卫星巡检项目建设，完善项目体系及产品。
8、完成领导及业主安排的其它工作。

","任职要求：
1、三年以上工作经验；本科及以上学历，遥感、测绘、计算机相关专业；具有扎实的遥感专业基础知识，熟悉卫星影像处理等技术。
2、具有处理卫星数据的能力，熟悉基本的遥感图像处理算法，熟悉arcgis、envi等遥感处理软件，熟悉Python、matlab、java其中一种编程语言者优先。
3、具有良好的沟通能力，尤其与客户的沟通，要能准确把握客户想法与需求。
4、具有良好的逻辑思维能力、学习能力，有上进心。
5、对工作有强烈的责任心和较强的执行力，能及时完成工作闭环。
6、有较强的文字能力，能够编制项目执行过程中所需资料及汇报材料。
7、有电网、卫星遥感、图像处理相关业务工作经验者优先。

薪酬与福利：
一、工作时间：
公司实行5天8小时工作制，法定节假日按国家有关规定执行。
二、员工福利待遇：
1、五险一金齐全，定期安排员工体检。
2、享有年休假、婚假、产假、丧假等带薪假期。
3、入职满半年以上，享受年底双薪。
4、公司毗邻广州21号线神舟路地铁站，步行5分钟可达。
5、绩效奖、全勤奖、节日福利、员工聚餐等福利。"
453,通信技术工程师,卫星总设计师,45-55k,北京-海淀区,5-10年-本科-航空器-载荷系统设计,5-10年-本科-航空器-载荷系统设计,中科睿格,计算机软件-A轮-50-99人,北京-海淀区,计算机软件-A轮-50-99人,"岗位职责：
1、卫星总体系统分析与设计、任务仿真，可行性总体方案论证；
2、卫星总体方案设计，总体技术指标论证、分解与验证；
3、卫星总体技术协调与技术状态控制，总体技术流程把控；
4、卫星规划研究和技术预研；
5、有效载荷总体设计与技术协调
6、领导交办的其他工作。

","任职资格：
1、飞行器设计、电子工程、控制、通信、力热工程、光学工程、物理等相关专业，本科及以上学历,有较强的英文阅读能力；
2、具有卫星机、电、热等总体技术相关知识和能力，具有航天科研背景者优先；
3、具有较强的组织能力、任务和总体项目分析能力；
4、具有较宽的知识面，工作认真，有高度的责任感和事业心；
5、具有良好的团队精神和沟通能力，有较强的执行力；
6、具备创新性思维，勇于开拓新技术，新领域和新的挑战。"
454,通信技术工程师,卫星工程总体设计岗,19-35k,北京-海淀区,5-10年-硕士,5-10年-硕士,华云星地通,其他行业-100-499人,北京-海淀区,其他行业-100-499人,,
