序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
79,算法工程师,Golang,18-35k,深圳-南山区,3-5年-大专-服务器开发-框架开发-框架设计-游戏开发-功能开发-模块开发-后端开发-Golang,3-5年-大专-服务器开发-框架开发-框架设计-游戏开发-功能开发-模块开发-后端开发-Golang,深圳市麦力昂科技有限公司,游戏-50-99人,深圳-南山区,游戏-50-99人,"Golang服务端开发经验
岗位职责：
1、参与游戏服务器端需求和框架设计规划和实现负责游戏服务器端的功能开发和维护;
2、负责协助解决项目开发过程中的技术难题以及上线后的突发问题;
3、与项目组策划人员深入沟通，准确实现开发需求;
4、与测试人员配合，了解并解决产品中存在的问题，对产品细节能有很好的把握;
","岗位要求：
1、2年及以上Golang游戏服务器开发经验;
2、精通Socket编程，游戏后端通讯开发，具有丰富的实时交互游戏方案解决经验;
3、精通Golang，并能熟练使用相应的开发框架;
4、熟悉Redis，MongoDB、MySQL，熟悉数据结构与算法;
5、责任心强，良好的沟通能力、团队协作能力和执行力，具有快速的学习能力和适应能力;
6、具有比较强的分析问题和解决问题的能力，对技钻研精神，积极主动，乐于分享;
7、从零开始完整参与一款及以上游戏、具备线上服务器端开发经验优先;
8、有海外游戏服务端开发经验的优先。
福利待遇：
1、薪资待遇从优，具备行业竞争优势的薪资福利;
2、弹性上班时间，每周5天工作制;
3、公司快速发展带来的职位晋升、薪资调整机会(一年2次);
4、入职即购买五险 (深圳一档)、缴纳公积金"
80,算法工程师,分布式系统研发工程师,20-30k,北京-海淀区,3-5年-本科-移动开发-消息队列-Java-C++,3-5年-本科-移动开发-消息队列-Java-C++,北京开元维度科技有限公司,专业技术服务-50-99人,北京-海淀区,专业技术服务-50-99人,,
81,算法工程师,java后端工程师,17-33k·13薪,上海-浦东新区,3-5年-本科-架构设计-后端开发-分布式数据库-Java,3-5年-本科-架构设计-后端开发-分布式数据库-Java,上海安维尔信息科技股份有限公司,计算机软件-B轮-100-499人,上海-浦东新区,计算机软件-B轮-100-499人,,
82,算法工程师,Java开发软件工程师,15-30k,上海-浦东新区,3-5年-统招本科-架构设计-后端开发-Java-分布式数据库,3-5年-统招本科-架构设计-后端开发-Java-分布式数据库,上海安维尔信息科技股份有限公司,计算机软件-B轮-100-499人,上海-浦东新区,计算机软件-B轮-100-499人,"职责描述：
1、负责WEB后端架构设计;

2、负责WEB后端业务实现;

3、负责业务数据的对接；

4、负责持续优化系统架构，提高系统的容灾容错能力，保证系统的可运维、高可用性、高可靠性。

5、根据项目需求安排的其它任务

","任职要求：
1、计算机相关专业，三年以上开发经验，熟悉后端开发相关技术；

2、具备全面的软件知识结构，基础扎实，精通常用数据结构与算法，有较强的架构设计和逻辑思维能力；

3、熟练使用java，完成过基于java的实际项目；

4、熟悉主流数据库和缓存系统，如MySQL、Redis、MongoDB等；

6、熟悉Nginx部署，有独立部署经验；

7、具备良好的沟通能力和团队协作能力，工作态度严谨。"
83,算法工程师,前端工程师（数源科技）,10-20k,杭州,5-10年-本科-前端开发-架构设计-框架设计-框架开发-Vue-React-架构开发-HTML-Javascript,5-10年-本科-前端开发-架构设计-框架设计-框架开发-Vue-React-架构开发-HTML-Javascript,西湖电子集团有限公司,电子/半导体/集成电路-2000-5000人,杭州,电子/半导体/集成电路-2000-5000人,,
84,算法工程师,SDK开发总监(央企),50-70k,北京,5-10年-硕士-sdk-软件开发,5-10年-硕士-sdk-软件开发,某北京大型计算机软件公司,计算机软件-A轮-1000-2000人,北京,计算机软件-A轮-1000-2000人,,
85,算法工程师,Java后端开发,30-60k,北京,3-5年-本科-Golang-Java-Docker-Kubernetes-云原生-云平台-多线程编程-开源产品开发-云计算开发经验,3-5年-本科-Golang-Java-Docker-Kubernetes-云原生-云平台-多线程编程-开源产品开发-云计算开发经验,某北京大型互联网公司,互联网-不需要融资-10000人以上,北京,互联网-不需要融资-10000人以上,"后端Java开发工程师-容器云技术

工作职责
1.参与集团云平台技术架构的研究，规划设计和实施； 
2.负责集团云平台重要项目等需求分析、方案设计、核心代码编写以及优化工作； 
3.负责云原生相关新技术（如service mesh、serverless等）的研究与落地；
","任职资格
1.熟练掌握一门编程语言（Golang/Java） 
2.熟练使用多线程编程，熟悉常用的数据结构与算法 
3.有分布式开发经验者优先 
4.积极参与开源、有开源产品开发经验者优先 
5.有云计算（docker、containerd、kubernetes、kernel）相关开发经验者优先 
6.有较好的团队沟通协作能力，对技术有极客精神，有较强的学习能力"
86,算法工程师,前端开发,18-35k,成都-郫都区,经验不限-统招本科,经验不限-统招本科,某深圳大型通信设备公司,通信设备-融资未公开-10000人以上,成都-郫都区,通信设备-融资未公开-10000人以上,,
87,算法工程师,多设备互联互通架构设计专家,30-50k·16薪,北京-海淀区,5-10年-统招本科-网络开发-架构设计-C语言-C/C++-Objective-C,5-10年-统招本科-网络开发-架构设计-C语言-C/C++-Objective-C,荣耀终端,通信设备-其他-10000人以上,北京-海淀区,通信设备-其他-10000人以上,"【岗位职责】
1、负责MagicOS与Windows端互联互通软件架构与方案设计；
2、负责通信办公业务在手机、平板、PC等设备的互联互通架构设计；
3、解决MagicOS多设备互联互通技术难题；

【","岗位要求】
1、本科以上学历，计算机相关专业，具备5年以上开发工作经验；
2、扎实的C/C++编程基础，熟练掌握常用的数据结构与算法，设计模式；
3、对内存，I/O，多线程开发，IPC核心机制有深刻的理解，熟悉掌握TCP/IP/协议与Soctet网络编程；
4、有良好的学习能力，对新知识有强烈的探索欲，能够快速学习新技术并运用于实践；
5、有远近场多设备互联互通开发经验，熟悉BT/BLE和WIFI协议相关原理者优先。"
88,算法工程师,前端开发,15-30k·15薪,南京-雨花台区,经验不限-统招本科,经验不限-统招本科,某深圳大型通信设备公司,通信设备-融资未公开-10000人以上,南京-雨花台区,通信设备-融资未公开-10000人以上,,
89,算法工程师,语义SLAM算法专家【高薪 双休 优质企业】,60-90k·14薪,北京,10年以上-硕士-视觉语义-SLAM算法,10年以上-硕士-视觉语义-SLAM算法,某上海大型人工智能公司,人工智能-1000-2000人,北京,人工智能-1000-2000人,"

工作职责：

主要负责联合感知、轨迹与地图的车辆驾驶行为经验挖掘，包括以下方向：

自车轨迹与HDMap的车道级关联匹配
多趟轨迹的车道级对齐、聚合与拓扑构建
车辆、行人等交通参与者的跟踪和轨迹平滑
在线局部语义地图构建
","任职要求：

计算机、自动化、数学、机器人、测绘等相关专业，硕士及以上学历
3年以上的的视觉语义重建、LiDAR语义建图等高精地图相关工作经验，熟悉常用的特征跟踪、语义匹配算法
深入理解Pose Graph, BA等非线性优化理论 ，熟练使用ceres，gtsam等常用的优化工具
扎实的计算机视觉、空间几何、多视几何和线性代数基础
精通几何图形算法，有较强的数学功底、扎实的数据结构与算法基础
熟悉C++11及以上标准，具有扎实的编程能力和良好的编码习惯
熟悉Linux系统的基本shell命令，熟悉Git、Docker的基本操作
熟悉常用的HDMap规格，有地图引擎相关工作经验者优先"
